NAME,TAXONNO,TAXON,NATIVE,HYBRID,ID,Major_group,Family,Genus_hybrid_marker,Genus,Species_hybrid_marker,Infraspecific_rank,Infraspecific_epithet,Authorship,Taxonomic_status_in_TPL,Nomenclatural_status_original,Confidence_level,Source,Source_id,IPNI_id,Publication,Collation,Page,Date,SppID
Myriophyllum spicatum,3395,0920  1331,N,,kew-2366673,A,Haloragaceae,,Myriophyllum,,,,L.,Accepted,,M,WCSP (in review),505953,430465-1,Sp. Pl.,992,,1753,147573
Myriophyllum verticillatum,3396,0920  1332,N,,kew-2366658,A,Haloragaceae,,Myriophyllum,,,,L.,Accepted,,M,WCSP (in review),505938,430479-1,Sp. Pl.,992,,1753,147578
Myrrhis odorata,3397,0920  1333,AN,,kew-2363724,A,Apiaceae,,Myrrhis,,,,(L.) Scop.,Accepted,,M,WCSP (in review),503006,845120-1,Fl. Carniol.,"ed. 2, 1: 207",,1771,18097
Najas flexilis,3398,0920  1334,N,,kew-308239,A,Hydrocharitaceae,,Najas,,,,(Willd.) Rostk. & W.L.E.Schmidt,Accepted,,H,WCSP,308239,603003-1,Fl. Sedin.,382,,1824,149380
Najas marina,3399,0920  1336,N,,kew-308286,A,Hydrocharitaceae,,Najas,,,,L.,Accepted,,H,WCSP,308286,321282-2,Sp. Pl.,1015,,1753,149394
Narcissus,3400,0920  2614,N,,,,,,,,,,,,,,,,,,,,,
Nardus stricta,7232,0920  1344,N,,kew-425445,A,Poaceae,,Nardus,,,,L.,Accepted,,H,WCSP,425445,409307-1,Sp. Pl.,53,,1753,278443
Narthecium ossifragum,3409,0920  1345,N,,kew-282407,A,Nartheciaceae,,Narthecium,,,,(L.) Huds.,Accepted,,H,WCSP,282407,538658-1,Fl. Angl.,128,,1762,223399
Neotinea maculata,3414,0920  1351,N,,kew-134144,A,Orchidaceae,,Neotinea,,,,(Desf.) Stearn,Accepted,,H,WCSP,134144,645274-1,Ann. Mus. Goulandris,2: 79,,1974 publ. 1975,245887
Neottia nidus-avis,3415,0920  1352,N,,kew-134261,A,Orchidaceae,,Neottia,,,,(L.) Rich.,Accepted,,H,WCSP,134261,645356-1,De Orchid. Eur.,37,,1817,245931
Nepeta cataria,3416,0920  1353,AR,,kew-134509,A,Lamiaceae,,Nepeta,,,,L.,Accepted,,H,WCSP,134509,452333-1,Sp. Pl.,570,,1753,160907
Nepeta nepetella x racemosa (N. x faassenii),10801,0920  7459,AN,H,,,,,,,,,,,,,,,,,,,,
Neslia paniculata,3418,0920  2572,AC,,kew-2381087,A,Brassicaceae,,Neslia,,,,(L.) Desv.,Accepted,,M,WCSP (in review),519915,287664-1,J. Bot. Agric.,3: 162,,1814 publ. 1815,49549
Nicandra physalodes,3420,0920  4395,AN,,kew-2383030,A,Solanaceae,,Nicandra,,,,(L.) Gaertn.,Accepted,,M,WCSP (in review),521728,1055225-2,Fruct. Sem. Pl.,2: 237,,1791,335427
Nicotiana alata,11338,0920  8145,AC,,kew-2382861,A,Solanaceae,,Nicotiana,,,,Link & Otto,Accepted,,M,WCSP (in review),521559,816845-1,Icon. Pl. Rar.,63,,1830,335432
Nigella damascena,3421,0920  4380,AN,,kew-2381631,A,Ranunculaceae,,Nigella,,,,L.,Accepted,,M,WCSP (in review),520457,711645-1,Sp. Pl.,584,,1753,300512
Nothofagus nervosa,10093,0920  4407,AN,,,,,,,,,,,,,,,,,,,,,
Nothofagus obliqua,3422,0920  4406,AN,,kew-135783,A,Nothofagaceae,,Nothofagus,,,,(Mirb.) Oerst.,Accepted,,H,WCSP,135783,,Bidr. Egefam.,24,,1872,224308
Nuphar lutea,3424,0920  1356,N,,kew-2384511,A,Nymphaeaceae,,Nuphar,,,,(L.) Sm.,Accepted,,M,WCSP (in review),523204,30385379-2,Fl. Graec. Prodr.,1: 361,,1809,224796
Nuphar pumila,3425,0920  1357,N,,kew-2383377,A,Nymphaeaceae,,Nuphar,,,,(Timm) DC.,Accepted,,M,WCSP (in review),522073,605460-1,Syst. Nat.,2: 61,,1821,224802
Nymphaea alba,3428,0920  1358,N,,kew-2383355,A,Nymphaeaceae,,Nymphaea,,,,L.,Accepted,,M,WCSP (in review),522051,171158-2,Sp. Pl.,510,,1753,224808
Nymphoides peltata,7234,0920  1360,N,,kew-2384918,A,Menyanthaceae,,Nymphoides,,,,(S.G.Gmel.) Kuntze,Accepted,,M,WCSP (in review),523610,370207-1,Revis. Gen. Pl.,2: 429,,1891,214396
